place_id;name;zone;zona_cat;rating;total_reviews;price_level;rango_precio;primary_type;tipo_comida;calificacion_cat;sentimiento;cluster;cluster_label
ChIJIUr5GJuprI8RkyBZykvdVtY;La Pulpería - Casco Antiguo;Casco Antiguo;Casco Viejo;4.9;6533;Moderado ($$);Medio ($$);panamanian_restaurant;Panameña;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJ3xE4GdqprI8RisFGo1HxDcQ;Sama Sky Lounge;Casco Antiguo;Casco Viejo;4.8;1639;Desconocido;Medio ($$);cocktail_bar;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJPaPgYc6prI8RC8x4D8aVKDk;Kaandela Restaurant;Casco Antiguo;Casco Viejo;4.8;2236;Desconocido;Medio ($$);asian_fusion_restaurant;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJmS4tb8GprI8RCjyGJFWycjI;Element;Casco Antiguo;Casco Viejo;4.8;1214;Moderado ($$);Medio ($$);bar;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJAWlqB9-prI8RckOV7P6ERQk;Mahalo Cocina y Jardin;Casco Antiguo;Casco Viejo;4.7;1325;Moderado ($$);Medio ($$);asian_fusion_restaurant;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJHdSu_LWorI8RGqPHoVre5cw;San Felipe Neri Public Market;Casco Antiguo;Casco Viejo;4.7;2251;Desconocido;Medio ($$);market;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJeb8T5IivrI8RPQpx-JPA3gI;Aya la Vida Restaurante | Comida Panameña Panamá;Casco Antiguo;Casco Viejo;4.7;375;Desconocido;Medio ($$);panamanian_restaurant;Panameña;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJ-bczJVGprI8R_rtC3FxaPQk;Cielo Rooftop Bar;Casco Antiguo;Casco Viejo;4.6;1043;Desconocido;Medio ($$);bar;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJwzdhrcqorI8RGs4ZmYZiaK4;Café Unido Casco Viejo;Casco Antiguo;Casco Viejo;4.6;947;Moderado ($$);Medio ($$);coffee_shop;Cafetería;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJg8tHK6CvrI8RD1nVzqc7Xno;Casa Catedral | Restaurante;Casco Antiguo;Casco Viejo;4.6;954;Desconocido;Medio ($$);restaurant;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJkYF9RjWvrI8RBY-0Ny-sAmo;CasaCasco;Casco Antiguo;Casco Viejo;4.5;5260;Caro ($$$);Alto ($$$);bar_and_grill;Americana;Excelente (4.5-5.0);Muy positivo;4;C4: Fusión | Alto ($$$) | Marbella | ?4.4
ChIJATwe3TSvrI8R8PoiICsyV5U;Fonda Lo Que Hay;Casco Antiguo;Casco Viejo;4.5;2209;Moderado ($$);Medio ($$);panamanian_restaurant;Panameña;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
