place_id;name;zone;zona_cat;rating;total_reviews;price_level;rango_precio;primary_type;tipo_comida;calificacion_cat;sentimiento;cluster;cluster_label
ChIJEZ3lnLyprI8R-_BV7P1WqJc;Repostería Dora;San Francisco;San Francisco;4.6;431;Desconocido;Medio ($$);cake_shop;Cafetería;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJJQVRj3WprI8R6JAmc2u5RaI;BBQ Fellas | Santa Elena;San Francisco;San Francisco;4.6;592;Moderado ($$);Medio ($$);barbecue_restaurant;Americana;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJ380sxqCprI8Rk3b_Bcd_KMU;Botanica;San Francisco;San Francisco;4.6;682;Moderado ($$);Medio ($$);restaurant;Fusión;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJpxtHL6GprI8R44FgDEPEeHY;Steinbock;San Francisco;San Francisco;4.6;781;Moderado ($$);Medio ($$);german_restaurant;Alemana;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJMaEhmFWprI8RQ3_vCWdK97g;Carne Asada Nica;San Francisco;San Francisco;4.6;549;Económico ($);Económico ($);american_restaurant;Americana;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJ7xHPBMGprI8RfyAlc5tBtac;Donde Stan S.A.;San Francisco;San Francisco;4.6;153;Desconocido;Medio ($$);bakery;Cafetería;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJWzr-KMmprI8RdTbcIc635xw;Coco Market;San Francisco;San Francisco;4.5;372;Moderado ($$);Medio ($$);restaurant;Fusión;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJX5EnfleprI8RRMFHnqI4bYc;Açai Express;San Francisco;San Francisco;4.5;35;Desconocido;Medio ($$);restaurant;Fusión;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJ6w0RpSKprI8RSpGhk3wXCa4;Little Caesars Pizza | Parque Lefevre;San Francisco;San Francisco;4.4;1311;Económico ($);Económico ($);pizza_restaurant;Italiana;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
ChIJaal_kHWprI8Rqis4BOZovTQ;El Patron Sport Bar;San Francisco;San Francisco;4.4;112;Desconocido;Medio ($$);bar;Fusión;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
